"Species","Coefficient","StdError","zValue","PValue","QValue"
"Actinobaculum sp. oral taxon 848",-18.658465519174,97.0485615377836,-0.192259063127997,0.847539283046186,0.962637210373446
"Actinomyces dentalis",19.3020781253526,40.9747201228888,0.471072848513986,0.63758871360981,0.814696689612535
"Actinomyces graevenitzii",81.31299760488,30.9804939565339,2.62465142482762,0.00867377145304456,0.199496743420025
"Actinomyces sp. oral taxon 180",4.38173409519506,3.15145301973438,1.39038534534917,0.164411894105287,0.681956632492985
"Kocuria sp. oral taxon 189",734.940147999621,712.598165263327,1.03135284908857,0.302375383422116,0.743688058133652
"Rothia mucilaginosa",4.63377123013885,4.91606298508256,0.942577677340524,0.345896962214467,0.743688058133652
"Corynebacterium durum",-27.8856793161883,37.6910249978077,-0.739849322691815,0.459391427187795,0.750468134845555
"Corynebacterium matruchotii",-1.10347015311302,12.2315867237452,-0.0902148002573413,0.928116523380734,0.978476481255007
"Propionibacterium acnes",2122.29397767807,1548.40341975755,1.37063374479654,0.170489158123246,0.681956632492985
"Propionibacterium sp. oral taxon 194",-39.2691068091012,35.9624363911945,-1.09194789757672,0.27485600300355,0.743688058133652
"Atopobium parvulum",276.446190354506,167.176665830905,1.65361708214785,0.0982053396575748,0.632504777292638
"Bacteroidales [G-2] sp. oral taxon 274",-192.834437435415,201.136349381142,-0.958724954632661,0.337697323566708,0.743688058133652
"Porphyromonas pasteri",-42.7698286932436,28.746769414782,-1.48781339830314,0.136800111260636,0.632504777292638
"Porphyromonas sp. oral taxon 930",-34.8973623516714,21.1715674788198,-1.64831264319862,0.0992885316051484,0.632504777292638
"Tannerella sp. oral taxon 286",7.03445987136591,56.0851949607834,0.125424541651048,0.900187460097393,0.978476481255007
"Alloprevotella sp. oral taxon 308",101.590980563937,62.7057403203776,1.62012249667872,0.10520596574436,0.632504777292638
"Alloprevotella sp. oral taxon 473",-2.67543090829197,5.05505155154947,-0.529258877186307,0.596625878388254,0.790961625592261
"Alloprevotella sp. oral taxon 912",-2100.25808894924,2273.90725478528,-0.923634015648345,0.355676897368268,0.743688058133652
"Prevotella melaninogenica",14.0725028760582,5.29254151805277,2.65893103116096,0.00783890080373446,0.199496743420025
"Prevotella nanceiensis",-20.2053112872259,75.7546768639755,-0.266720315149735,0.789684511153979,0.931422756745719
"Prevotella oris",6.53210573936744,177.330064746692,0.03683586169496,0.970615879944211,0.978476481255007
"Prevotella pallens",37.7890909812274,57.3259204415644,0.659197282662875,0.509769091642872,0.756431555341037
"Prevotella salivae",127.511468687643,40.4067660621498,3.15569596664868,0.00160115665932948,0.0736532063291562
"Prevotella shahii",-2814.11430059123,1850.92302180019,-1.52038429877772,0.128414418311568,0.632504777292638
"Prevotella sp. oral taxon 472",-95.8125972002778,214.324825566223,-0.447043859464956,0.654843392585016,0.823030717203867
"Prevotella sp. oral taxon 942",-660.546254745195,684.755326190219,-0.964645661714358,0.334722320401795,0.743688058133652
"Bergeyella sp. oral taxon 322",-193.765982756644,119.333598635759,-1.62373367577789,0.104432660546539,0.632504777292638
"Bergeyella sp. oral taxon 900",-19.3916392494731,14.6898329709245,-1.3200721402248,0.186810933382275,0.716108577965388
"Bergeyella sp. oral taxon 931",-169.657425758808,220.942265457787,-0.767881262588135,0.442557730308391,0.750468134845555
"Capnocytophaga granulosa",24.9120091700828,22.6735919114098,1.09872354002925,0.271888671544633,0.743688058133652
"Capnocytophaga sp. oral taxon 338",-691.617489504338,451.515764303334,-1.53176819987995,0.1255796459536,0.632504777292638
"Capnocytophaga sputigena",1.18501878256391,43.9237428579537,0.0269790028230558,0.978476481255007,0.978476481255007
"Gemella haemolysans",2.98820511687561,1.99902445055022,1.49483169955882,0.13495837105348,0.632504777292638
"Staphylococcus caprae",64.3036276243134,50.7921006815262,1.26601630492715,0.20550724484157,0.743688058133652
"Abiotrophia defectiva",-5.12751113528983,9.65386478951225,-0.531135586326032,0.595324825598518,0.790961625592261
"Dolosigranulum pigrum",-296.091678092388,1482.57890366917,-0.199713942616884,0.841704308818028,0.962637210373446
"Granulicatella elegans",5.32095588187411,5.49140602193847,0.968960565038644,0.332564865185794,0.743688058133652
"The mutans group",48.3808301728467,20.8783802005719,2.31726933354348,0.0204890647286401,0.376998791006978
"Streptococcus sp. oral taxon 070",-22.1233785351722,90.034453725602,-0.245721250251572,0.805898021126748,0.93851415118558
"Other",-1.0935783825273,1.12766679867924,-0.969770843486868,0.332160729101628,0.743688058133652
"Streptococcus vestibularis",0.110056110819927,2.49784330205333,0.044060454364554,0.964856214998383,0.978476481255007
"Catonella morbi",-85.8721752747282,164.573230071667,-0.521787019901919,0.601818628168025,0.790961625592261
"Lachnoanaerobaculum sp. oral taxon 089",-755.129057947051,716.061660417121,-1.05455870589018,0.291627198086414,0.743688058133652
"Lachnoanaerobaculum umeaense",17.9185689829938,22.2232258352923,0.806299189676487,0.420070357627155,0.750468134845555
"Lachnospiraceae [G-2] sp. oral taxon 096",98.8692373362765,67.7148773272865,1.46008146567868,0.144267685799991,0.632504777292638
"Lachnospiraceae [G-3] sp. oral taxon 100",-139.48100422719,129.28560936021,-1.07885947181155,0.280650378177944,0.743688058133652
"Oribacterium sinus",52.568424227847,54.455535082556,0.965345839466124,0.334371619236284,0.743688058133652
"Stomatobaculum longum",777.436744316991,190.167295286437,4.08817269628821,4.34784440092675e-05,0.00400001684885261
"Stomatobaculum sp. oral taxon 097",-364.251232020917,580.873980166592,-0.627074450669062,0.530610433828878,0.774859681146933
"Peptococcus sp. oral taxon 167",-790.165515003178,514.136383166358,-1.53687920340682,0.124322893117376,0.632504777292638
"Parvimonas micra",-99.1410980916423,197.676091969659,-0.501533074150715,0.615996006997689,0.798192009067427
"Mogibacterium neglectum",160.828881585045,225.318244583126,0.713785436605916,0.475359866389168,0.753738730116008
"Peptostreptococcaceae [XI][G-1] [Eubacterium] sulci",234.897587223611,250.107827980961,0.939185267090049,0.347635631908328,0.743688058133652
"Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsps. yurii & margaretiae",-514.324188231461,289.006289123306,-1.77962974366977,0.0751365751717289,0.632504777292638
"Peptostreptococcus stomatis",72.6320117172327,166.14915561369,0.43714944833128,0.662002968185719,0.823030717203867
"Ruminococcaceae [G-1] sp. oral taxon 075",-191.826265566093,131.416018091534,-1.459687094099,0.144376090468972,0.632504777292638
"Ruminococcaceae [G-2] sp. oral taxon 085",30.3614927592804,334.89426005486,0.0906599377197648,0.927762804555298,0.978476481255007
"Solobacterium moorei",-8.17853764998538,120.437354707713,-0.0679069850864272,0.945859678296218,0.978476481255007
"Mycoplasma orale",-357.660978203544,375.988012201556,-0.95125633423603,0.341474267402612,0.743688058133652
"Megasphaera micronuciformis",226.084136312413,181.484459667982,1.24574928743774,0.212856452735381,0.743688058133652
"Selenomonas sp. oral taxon 478",25.875136498226,35.41155825585,0.730697483326687,0.464963953110833,0.750468134845555
"Selenomonas sputigena",131.290944778439,333.054419556699,0.394202680010042,0.693431407205539,0.850609192838795
"Veillonella dispar",13.3274265366043,7.83282506209821,1.70148400238039,0.0888521393194113,0.632504777292638
"Veillonella sp. oral taxon 780",-17.5546628027817,22.9784802665358,-0.763961001735482,0.444890483011609,0.750468134845555
"Fusobacterium periodonticum",-44.4210479556145,23.9686620761598,-1.85329693474203,0.0638398102896744,0.632504777292638
"Fusobacterium sp. oral taxon 370",0.765696184960928,17.4943444531178,0.0437682124650556,0.965089165569917,0.978476481255007
"Leptotrichia goodfellowii",-179.913903890049,311.556889866915,-0.577467261169864,0.563623848556154,0.790961625592261
"Leptotrichia shahii",-11.7112507788738,35.8171052166719,-0.326973682212111,0.743687790662395,0.888562035596628
"Leptotrichia sp. oral taxon 215",-105.290889852344,87.998329255796,-1.19651010130296,0.231497559051935,0.743688058133652
